name,id,module_time,size,height,no_tasks,kitchen,wardrobe,bath,doors,windows,interior_walls,floor_area
M_13.0.02,73,223,40,2.7,27,1,0,1,5,2,6,23
M_13.1.02,74,241,40,2.7,27,1,0,1,5,2,6,23
M_13.1.03,75,210,40,2.7,27,1,0,1,5,2,6,23
M_12.0.02,76,282,40,2.7,27,1,0,1,5,2,6,23
M_12.1.02,77,226,40,2.7,27,1,0,1,5,2,6,23
M_12.1.03,78,267,40,2.7,27,1,0,1,5,2,6,23
M_10.0.02,79,260,40,2.7,27,1,0,1,5,2,6,23
M_10.1.02,80,266,40,2.7,27,1,0,1,5,2,6,23
M_10.1.03,81,263,40,2.7,27,1,0,1,5,2,6,23
M_09.0.02,82,270,40,2.7,27,1,0,1,5,2,6,23
M_09.1.02,83,236,40,2.7,27,1,0,1,5,2,6,23
M_09.1.03,84,254,40,2.7,27,1,0,1,5,2,6,23
M_07.0.02,85,244,40,2.7,27,1,0,1,5,2,6,23
M_07.1.02,86,269,40,2.7,27,1,0,1,5,2,6,23
M_07.1.03,87,228,40,2.7,27,1,0,1,5,2,6,23
M_06.0.02,88,336,40,2.7,27,1,0,1,5,2,6,23
M_06.1.02,89,222,40,2.7,27,1,0,1,5,2,6,23
M_06.1.03,90,270,40,2.7,27,1,0,1,5,2,6,23
M_06.2.02,91,219,40,2.7,27,1,0,1,5,2,6,23
M_06.2.03,92,267,40,2.7,27,1,0,1,5,2,6,23
M_05.0.02,93,259,40,2.7,27,1,0,1,5,2,6,23
M_05.1.02,94,193,40,2.7,27,1,0,1,5,2,6,23
M_05.1.03,95,213,40,2.7,27,1,0,1,5,2,6,23
M_03.0.02,96,229,40,2.7,27,1,0,1,5,2,6,23
M_03.1.02,97,239,40,2.7,27,1,0,1,5,2,6,23
M_03.1.03,98,250,40,2.7,27,1,0,1,5,2,7,23
M_03.2.02,99,267,40,2.7,27,1,0,1,5,2,6,23
M_03.2.03,100,253,40,2.7,27,1,0,1,5,2,6,23
M_02.0.02,101,226,40,2.7,27,1,0,1,5,2,6,23
M_02.1.02,102,202,40,2.7,27,1,0,1,5,2,6,23
M_02.1.03,103,229,40,2.7,27,1,0,1,5,2,6,23
M_02.2.02,104,229,40,2.7,27,1,0,1,5,2,6,23
M_02.2.03,105,228,40,2.7,27,1,0,1,5,2,6,23
M_01.0.02,106,315,40,2.7,27,1,0,1,5,2,6,23
M_01.1.02,107,224,40,2.7,27,1,0,1,5,2,6,23
M_01.1.03,108,249,40,2.7,27,1,0,1,5,2,6,23
M_01.2.02,109,240,40,2.7,27,1,0,1,5,2,6,23
M_01.2.03,110,290,40,2.7,27,1,0,1,5,2,6,23
M_13.0.03,111,274,40,2.7,28,1,0,1,4,1,7,14
M_12.0.03,112,263,40,2.7,28,1,0,1,4,1,7,14
M_11.0.01,113,269,40,2.7,23,1,0,0,3,1,4,29
M_11.0.02,114,313,40,2.7,23,1,0,0,4,3,4,24
M_10.0.03,115,292,40,2.7,28,1,0,1,4,1,7,14
M_09.0.03,116,285,40,2.7,28,1,0,1,4,1,7,14
M_07.0.03,117,356,40,2.7,28,1,0,1,4,1,7,14
M_06.0.03,118,288,40,2.7,28,1,0,1,4,1,7,14
M_05.0.03,119,284,40,2.7,28,1,0,1,4,1,7,14
M_03.0.03,120,245,40,2.7,28,1,0,1,4,1,7,14
M_04.0.01,121,398,40,2.7,23,1,0,0,3,1,4,29
M_04.0.02,122,307,40,2.7,23,1,0,0,4,3,4,24
M_02.0.03,123,281,40,2.7,28,1,0,1,4,1,7,14
M_01.0.03,124,307,40,2.7,28,1,0,1,4,1,7,14
M_13.0.01,125,271,40,2.7,23,1,2,0,4,2,4,31
M_13.1.01,126,196,40,2.7,22,1,2,0,4,2,3,31
M_13.0.04,127,247,40,2.7,22,1,2,0,3,2,3,32
M_13.1.04,128,269,40,2.7,23,1,2,0,4,2,4,31
M_12.0.01,129,371,40,2.7,23,1,2,0,4,2,4,31
M_12.1.01,130,294,40,2.7,23,1,2,0,4,2,4,31
M_12.0.04,131,294,40,2.7,22,1,2,0,3,2,3,32
M_12.1.04,132,277,40,2.7,23,1,2,0,4,2,4,31
M_10.0.01,133,354,40,2.7,23,1,2,0,4,2,4,31
M_10.0.04,134,268,40,2.7,22,1,2,0,3,2,3,32
M_10.1.01,135,254,40,2.7,23,1,2,0,4,2,4,31
M_10.1.04,136,285,40,2.7,23,1,2,0,4,2,4,31
M_09.0.01,137,294,40,2.7,23,1,2,0,4,2,4,31
M_09.0.04,138,303,40,2.7,22,1,2,0,3,2,3,32
M_09.1.01,139,291,40,2.7,23,1,2,0,4,2,4,31
M_09.1.04,140,288,40,2.7,23,1,2,0,4,2,4,31
M_07.0.01,141,313,40,2.7,23,1,2,0,4,2,4,31
M_07.0.04,142,293,40,2.7,22,1,2,0,3,2,3,32
M_07.1.01,143,276,40,2.7,23,1,2,0,4,2,4,31
M_07.1.04,144,287,40,2.7,23,1,2,0,4,2,4,31
M_06.0.01,145,322,40,2.7,23,1,2,0,4,2,4,31
M_06.0.04,146,281,40,2.7,22,1,2,0,3,2,3,32
M_06.1.01,147,271,40,2.7,23,1,2,0,4,2,4,31
M_06.1.04,148,280,40,2.7,23,1,2,0,4,2,4,31
M_06.2.01,149,252,40,2.7,23,1,2,0,4,2,4,31
M_06.2.04,150,260,40,2.7,23,1,2,0,4,2,4,31
M_05.0.01,151,272,40,2.7,24,1,2,0,4,2,4,31
M_05.0.04,152,268,40,2.7,22,1,2,0,3,2,3,32
M_05.1.01,153,300,40,2.7,23,1,2,0,4,2,4,31
M_05.1.04,154,217,40,2.7,23,1,2,0,4,2,4,31
M_03.0.01,155,311,40,2.7,23,1,2,0,4,2,4,31
M_03.0.04,156,351,40,2.7,22,1,2,0,3,2,3,32
M_03.1.01,157,297,40,2.7,23,1,2,0,4,2,4,31
M_03.1.04,158,352,40,2.7,22,1,2,0,4,2,3,31
M_03.2.01,159,255,40,2.7,23,1,2,0,4,2,4,31
M_03.2.04,160,340,40,2.7,23,1,2,0,4,2,4,31
M_02.0.01,161,248,40,2.7,23,1,2,0,4,2,3,31
M_02.0.04,162,238,40,2.7,22,1,2,0,3,2,3,32
M_02.1.01,163,238,40,2.7,23,1,2,0,4,2,4,31
M_02.1.04,164,224,40,2.7,23,1,2,0,4,2,4,31
M_02.2.01,165,248,40,2.7,23,1,2,0,4,2,4,31
M_02.2.04,166,269,40,2.7,23,1,2,0,4,2,4,31
M_01.0.01,167,270,40,2.7,23,1,2,0,4,2,4,31
